region,num_sessions,installs,orders,revenue,revenue_quartile,region_russian,revenue_per_order,gmv,conversion,avg_check,rich_hotel_count,not_rich_hotel_count,tour_count,nature_feat,nature_feat_rating_mean,not_rich_hotel_feat_rating_mean,rich_hotel_feat_rating_mean,tour_feat_rating_mean,nature_feat_rating_std,not_rich_hotel_feat_rating_std,rich_hotel_feat_rating_std,tour_feat_rating_std,средний доход,20тый персентиль дохода,40ой персентиль дохода,60тый персентиль дохода,80тый персентиль дохода,доля населения с доходом ниже медианы по региону,население с доходом ниже границы бедности,население,моложе трудоспособного возраста,в трудоспособном возрасте,старше трудоспособного возраста,моложе 18,Возраст от 18 до 25,Возраст от 25 до 30,Возраст от 31 до 40,Возраст от 41 до 50,Возраст от 51 до 60,Старше 60,мужчины,мужчины моложе трудоспособного возраста,мужчины трудоспособного возраста,мужчины старше трудоспособного возраста,женщины,мужчины моложе трудоспособного возраста.1,женщины трудоспособного возраста,женщины старше трудоспособного возраста,городские мужчины,городские мужчины моложе трудоспособного возраста,городские мужчины в трудоспособном возрасте,городские мужчины в трудоспособном возрасте.1,городские женщины,городские женщины моложе трудоспособного возраста,городские женщины в трудоспо-собном возрасте,городские женщины старше трудоспо-собного возраста,оценка туристского потока (число поездок),оценка туристского потока (число ночевок),доход от гостиниц/отелей/хостелов в год (тыс),число турфирм
Tyumen Oblast,0.105762168658609,0.0886494459409628,0.0510869565217391,0.0603531766511343,High,Тюменская область,1.5905931221605252,0.0030832601115253,0.4830362044356646,1.1813813301924168,400.0,15.0,74.0,74.0,4.77027027027027,4.866666666666666,4.49,4.824324324324325,0.562462718333397,0.3518657752744984,0.9311646842384715,0.5063462486380355,42570,12519,22730,33174,48596,16.6,11.9,1602672,348387,900273,354012,382432,120532,91273,287871,214531,189249,316784,740437,178107,456359,105971,862235,170280,443914,248041,488737,119596,304302,64839,594213,114825,313189,166199,1388552,4081863,8311472.0,312
Udmurtiya Republic,0.100611847256702,0.0812198048762195,0.0521739130434782,0.0524169873400416,High,Удмуртская республика,1.349812063767464,0.0027347993394804,0.5185662967737904,1.004658924017465,193.0,4.0,56.0,47.0,4.76595744680851,5.0,4.6217616580310885,4.75,0.5599986784707547,0.0,0.8335060270111447,0.6674238124719146,38353,13072,22433,31442,44201,13.8,9.4,1448946,296719,806303,345924,329407,114306,78969,232128,201896,183653,308587,663772,152095,414216,97461,785174,144624,392087,248463,424526,94965,269670,59891,527645,91131,275626,160888,772119,2780518,3535801.8,213
Primorye,0.0958894547396917,0.0758885881963237,0.0731884057971014,0.0933380188103355,Very High,Приморский край,1.656426089416435,0.0068312607969883,0.7632581288086769,1.2753115441412186,355.0,14.0,53.0,96.0,4.447916666666667,4.714285714285714,4.470422535211267,4.811320754716981,0.9275864739562919,1.0690449676496976,1.0006204806935473,0.6521150138524087,54010,16537,29573,42693,61849,15.9,10.3,1841961,322405,1089242,430314,359077,154065,104441,312850,284581,238268,388679,863725,163498,571361,128866,978236,158907,517881,301448,670624,127557,447186,95881,774761,124496,416210,234055,2118237,7952384,6429772.9,118
Yaroslavl Oblast,0.0952703235870759,0.0777573265167092,0.065,0.0757852700625213,Very High,Ярославская область,1.53242811149409,0.0049260425540638,0.6822691217227871,1.165927231731097,566.0,2.0,247.0,28.0,4.357142857142857,5.0,4.519434628975265,4.5910931174089065,1.2236643728386054,0.0,0.9697059303182,0.927669527071199,43482,13947,24504,34928,49949,15.0,8.1,1205637,214396,668932,322309,239273,87874,62560,193017,174501,156681,291731,541571,110134,344148,87289,664066,104262,324784,235020,433438,91047,276889,65502,543961,86031,270587,187343,1315122,3643304,5650498.6,155
Kemerovo Oblast,0.0950548416663125,0.0958212761170242,0.0451449275362318,0.0623025502470061,High,Кемеровская область,1.8812043219157015,0.0028126441162235,0.4749355923889902,1.3800564902226096,321.0,4.0,34.0,38.0,4.5,4.5,4.5046728971962615,4.382352941176471,1.0067340828210367,1.0,1.0461880069062122,1.128547091761979,39401,12698,22269,31701,45274,14.9,10.8,2592013,498265,1463954,629794,557358,197629,148477,433163,372805,312650,569931,1186167,255491,746340,184336,1405846,242774,717614,445458,1015961,220297,642541,153123,1226837,209233,631997,385607,1423328,5871801,4835213.0,202
Altai Krai,0.0918377876380146,0.0959337754139036,0.0444202898550724,0.0491663152407379,High,Алтайский край,1.5112215377500455,0.0021839819740994,0.4836820550398953,1.106843638372241,420.0,7.0,47.0,38.0,4.473684210526316,4.857142857142857,4.416666666666667,4.617021276595745,1.108611064429896,0.37796447300922725,1.0792945337270154,0.7387766471133709,36315,11153,19923,28737,41596,15.8,13.8,2154932,424089,1182444,548399,471848,171733,127523,323311,296052,266848,497617,985906,217553,603618,164735,1169026,206536,578826,383664,561897,121221,355479,85197,693062,115549,364415,213098,1505214,6335800,11347501.1,186
Lipetsk Oblast,0.0870577309450248,0.080938556634021,0.0586231884057971,0.0635055292792712,High,Липецкая область,1.4385837862553486,0.0037228966077485,0.6733829123437235,1.0832834413522157,195.0,0.0,45.0,101.0,4.3861386138613865,,4.471794871794872,4.866666666666666,1.1042671509168691,,0.99118504465971,0.547722557505166,43655,13622,24186,34736,50058,15.5,7.0,1138140,194500,642660,300980,217654,79563,62888,185101,164626,156024,272284,521508,99508,332680,89320,616632,94992,309980,211660,321252,64003,205293,51956,396297,61427,204681,130189,425950,1390812,1777408.4,105
Omsk Oblast,0.0856404061985954,0.077433891038181,0.0330434782608695,0.0415792492634026,High,Омская область,1.7696293464042852,0.0013739230191385,0.385839812392336,1.2583193856029755,189.0,1.0,19.0,38.0,4.684210526315789,5.0,4.613756613756614,4.7368421052631575,0.8416606222994188,,0.8530428414705896,0.5619514869490163,40521,12073,21814,31724,46306,16.4,11.1,1851537,365420,1031217,454900,404061,134597,95505,303533,264059,242592,407190,854140,187703,532858,133579,997397,177717,498359,321321,616814,131045,391881,93888,744664,124401,381369,238894,1035118,3754087,2984679.2,188
Transbaikal Territory,0.0788633480427564,0.0978853257167142,0.0609420289855072,0.0489197153731878,High,Забайкальский край,1.0618797067245005,0.0029812667122355,0.7727547777006245,0.8027254127823926,68.0,5.0,0.0,13.0,4.461538461538462,4.6,4.279411764705882,,0.9674179220468452,0.5477225575051662,1.1950843127103592,,42400,13364,23637,33855,48652,15.3,15.8,1000520,220626,586897,192997,246928,91530,62009,172612,144241,110752,172448,472241,112615,302839,56787,528279,108011,284058,136210,321615,75895,209603,36117,371257,72590,204947,93720,456732,1264553,1304471.6,74
Transbaikal Territory,0.0788633480427564,0.0978853257167142,0.0609420289855072,0.0489197153731878,High,Забайкальский край,1.0618797067245005,0.0029812667122355,0.7727547777006245,0.8027254127823926,3.0,0.0,0.0,0.0,,,4.666666666666667,,,,0.5773502691896257,,42400,13364,23637,33855,48652,15.3,15.8,1000520,220626,586897,192997,246928,91530,62009,172612,144241,110752,172448,472241,112615,302839,56787,528279,108011,284058,136210,321615,75895,209603,36117,371257,72590,204947,93720,456732,1264553,1304471.6,74
