средний доход,20тый персентиль дохода,40ой персентиль дохода,60тый персентиль дохода,80тый персентиль дохода,доля населения с доходом ниже медианы по региону,население с доходом ниже границы бедности,население,моложе трудоспособного возраста,в трудоспособном возрасте,старше трудоспособного возраста,моложе 18,Возраст от 18 до 25,Возраст от 25 до 30,Возраст от 31 до 40,Возраст от 41 до 50,Возраст от 51 до 60,Старше 60,мужчины,мужчины моложе трудоспособного возраста,мужчины трудоспособного возраста,мужчины старше трудоспособного возраста,женщины,мужчины моложе трудоспособного возраста.1,женщины трудоспособного возраста,женщины старше трудоспособного возраста,городские мужчины,городские мужчины моложе трудоспособного возраста,городские мужчины в трудоспособном возрасте,городские мужчины в трудоспособном возрасте.1,городские женщины,городские женщины моложе трудоспособного возраста,городские женщины в трудоспо-собном возрасте,городские женщины старше трудоспо-собного возраста,оценка туристского потока (число поездок),оценка туристского потока (число ночевок),доход от гостиниц/отелей/хостелов в год (тыс),число турфирм,region
138245,34598,66636,101486,155278,19.2,5.2,47906,10559,31149,6198,11941,3930,3165,9001,8037,6656,5176,23907,5351,16684,1872,23999,5208,14465,4326,16424,3356,11713,1355,16535,3298,10205,3032,47999,241992,216233.0,3,Nenets
43655,13622,24186,34736,50058,15.5,7.0,1138140,194500,642660,300980,217654,79563,62888,185101,164626,156024,272284,521508,99508,332680,89320,616632,94992,309980,211660,321252,64003,205293,51956,396297,61427,204681,130189,425950,1390812,1777408.4,105,Lipetsk Oblast
41213,13489,23516,33333,47398,14.6,11.6,1062726,201526,622135,239065,224313,97556,61155,189366,149671,123255,217410,497416,103281,319800,74335,565310,98245,302335,164730,352007,70842,231668,49497,406894,67219,225538,114137,408767,1494806,2116057.9,120,Tomsk Oblast
53913,14950,27742,41130,61224,17.6,11.9,763570,154011,448161,161398,172916,67450,43799,130473,113919,88978,146035,361556,78977,233348,49231,402014,75034,214813,112167,242519,52174,158863,31482,277979,49825,152747,75407,523275,1596606,2045945.5,59,Amur Oblast
38681,11749,21076,30491,44270,16.0,14.8,904338,199410,539605,165323,220387,88817,64226,152460,115327,116700,146421,429493,101960,275236,52297,474845,97450,264369,113026,217057,47909,140122,29026,252388,46229,141261,64898,394611,2566148,1897075.6,18,Kabardino-Balkariya Republic
42341,13816,24115,34211,48688,14.7,9.1,1496690,218970,844078,433642,244623,99170,79134,243375,229770,204951,395667,676671,112301,440135,124235,820019,106669,403943,309407,487727,82721,316849,88157,609369,78309,300486,230574,1799648,6171476,2810307.8,200,Tula Oblast
54576,16328,29456,42791,62388,16.3,11.7,734363,138514,425682,170167,154740,50069,37513,126832,114171,99461,151577,339964,70418,222128,47418,394399,68096,203554,122749,260508,54415,171984,34109,308945,52864,164079,92002,273509,1049828,1453930.7,102,Komi
42268,13184,23412,33628,48466,15.5,13.9,2363447,518049,1331387,514011,571213,192128,129966,398675,334670,275003,461792,1086116,266202,676251,143663,1277331,251847,655136,370348,827373,199041,519942,108390,1007141,188375,519697,299069,1553341,4485123,8179680.4,255,Irkutsk Oblast
38353,13072,22433,31442,44201,13.8,9.4,1448946,296719,806303,345924,329407,114306,78969,232128,201896,183653,308587,663772,152095,414216,97461,785174,144624,392087,248463,424526,94965,269670,59891,527645,91131,275626,160888,772119,2780518,3535801.8,213,Udmurtiya Republic
35210,11435,19995,28403,40477,14.8,10.7,1261103,200206,705997,354900,224421,89103,67406,202707,179452,175949,322065,575307,102268,367781,105258,685796,97938,338216,249642,387662,71021,248167,68474,479330,68447,241484,169399,424217,2200011,2339266.2,104,Penza Oblast
